size;malloc;calloc;realloc
89500001;3;3;9
89600001;4;3;5
89700001;3;3;5
89800001;3;3;5
89900001;3;3;5
90000001;3;3;5
90100001;7;7;5
90200001;3;3;4
90300001;3;3;4
90400001;3;3;4
90500001;3;6;19
90600001;3;3;5
90700001;3;3;5
90800001;3;3;5
90900001;4;3;8
91000001;4;3;7
91100001;3;3;5
91200001;4;4;6
91300001;3;3;6
91400001;3;3;5
91500001;3;3;6
91600001;3;3;8
91700001;4;3;6
91800001;3;3;5
91900001;3;3;6
92000001;3;3;6
92100001;4;3;5
92200001;8;10;6
92300001;4;3;6
92400001;3;3;7
92500001;3;3;8
92600001;3;3;4
92700001;3;3;4
92800001;3;3;6
92900001;3;3;18
93000001;3;3;5
93100001;3;3;4
93200001;3;3;4
93300001;3;3;4
93400001;3;3;7
93500001;3;3;5
93600001;3;3;5
93700001;3;3;7
93800001;3;3;5
93900001;3;3;5
94000001;3;3;6
94100001;4;3;5
94200001;3;3;5
94300001;7;7;5
94400001;3;3;4
94500001;3;3;5
94600001;3;3;5
94700001;3;5;5
94800001;3;3;5
94900001;3;3;5
95000001;3;3;5
95100001;4;3;8
95200001;3;3;5
95300001;5;3;18
95400001;3;3;5
95500001;3;3;5
95600001;3;3;5
95700001;3;3;5
95800001;3;3;7
95900001;3;3;6
96000001;3;3;5
96100001;3;3;5
96200001;3;3;6
96300001;3;3;5
96400001;7;7;5
96500001;3;3;6
96600001;3;3;7
96700001;3;3;13
96800001;4;4;7
96900001;4;3;7
97000001;5;5;6
97100001;4;3;5
97200001;3;3;5
97300001;6;4;6
97400001;3;3;5
97500001;3;3;5
97600001;3;5;6
97700001;3;3;5
97800001;3;3;5
97900001;3;24;9
98000001;3;4;6
98100001;3;3;5
98200001;3;3;5
98300001;3;3;5
98400001;5;3;5
98500001;7;7;5
98600001;3;3;5
98700001;3;3;5
98800001;3;3;5
98900001;3;3;5
99000001;3;5;5
99100001;3;3;5
99200001;3;3;5
99300001;3;3;8
99400001;3;3;5
99500001;3;3;5
99600001;3;3;6
99700001;3;3;5
99800001;3;3;5
99900001;3;3;5
